timestamp,open,high,low,close,volume
2023-06-18 00:00:00,26519.1,26542.5,26501.76,26515.8,35.4498
2023-06-18 00:05:00,26508.01,26535.0,26506.13,26511.3,7.4262
2023-06-18 00:10:00,26511.3,26551.0,26508.77,26519.62,18.9461
2023-06-18 00:15:00,26519.44,26550.0,26464.43,26511.99,89.2364
2023-06-18 00:20:00,26513.33,26541.0,26414.28,26439.52,90.0204
2023-06-18 00:25:00,26437.12,26497.0,26420.83,26473.0,45.7398
2023-06-18 00:30:00,26477.27,26499.0,26439.73,26442.51,18.2486
2023-06-18 00:35:00,26442.69,26491.0,26438.14,26450.0,24.9993
2023-06-18 00:40:00,26447.93,26481.0,26406.58,26406.97,52.4069
2023-06-18 00:45:00,26404.98,26454.0,26367.9,26417.63,87.0224
2023-06-18 00:50:00,26413.75,26456.0,26400.46,26434.54,26.9421
2023-06-18 00:55:00,26430.23,26473.0,26425.0,26441.54,20.7499
2023-06-18 01:00:00,26442.69,26474.0,26430.0,26441.01,9.2889
2023-06-18 01:05:00,26440.58,26477.0,26436.65,26446.0,7.4251
2023-06-18 01:10:00,26445.92,26477.0,26417.81,26424.29,13.6584
2023-06-18 01:15:00,26424.3,26472.0,26422.24,26428.62,15.3316
2023-06-18 01:20:00,26430.32,26470.0,26428.75,26432.68,8.5895
2023-06-18 01:25:00,26432.68,26475.0,26432.68,26448.76,17.458
2023-06-18 01:30:00,26450.3,26474.0,26433.83,26440.33,6.1402
2023-06-18 01:35:00,26440.09,26472.0,26430.8,26446.47,19.3686
2023-06-18 01:40:00,26472.0,26485.0,26436.89,26485.0,38.163
2023-06-18 01:45:00,26457.37,26486.0,26447.06,26459.88,7.8902
2023-06-18 01:50:00,26459.88,26506.0,26457.0,26481.21,24.2825
2023-06-18 01:55:00,26478.14,26506.0,26471.89,26480.7,11.8583
2023-06-18 02:00:00,26506.0,26527.0,26475.02,26493.22,18.5833
2023-06-18 02:05:00,26492.51,26523.0,26485.7,26489.51,18.292
2023-06-18 02:10:00,26489.81,26523.0,26486.46,26488.2,15.3189
2023-06-18 02:15:00,26488.21,26513.0,26474.88,26483.9,21.2782
2023-06-18 02:20:00,26482.68,26514.0,26462.98,26473.86,26.4791
2023-06-18 02:25:00,26473.87,26500.0,26454.69,26455.22,12.4462
2023-06-18 02:30:00,26454.98,26493.0,26448.37,26469.01,6.4778
2023-06-18 02:35:00,26469.42,26493.0,26449.35,26459.26,7.1057
2023-06-18 02:40:00,26458.42,26495.0,26457.75,26462.76,11.1948
2023-06-18 02:45:00,26460.65,26477.9,26458.29,26469.41,9.1861
2023-06-18 02:50:00,26468.89,26476.0,26465.51,26470.65,15.4631
2023-06-18 02:55:00,26470.25,26490.0,26459.98,26469.21,5.1749
2023-06-18 03:00:00,26469.54,26491.0,26464.3,26469.88,5.7673
2023-06-18 03:05:00,26469.87,26516.0,26469.87,26483.82,5.4726
2023-06-18 03:10:00,26483.82,26515.0,26482.65,26486.23,8.3876
2023-06-18 03:15:00,26490.1,26515.0,26483.21,26486.33,6.1128
2023-06-18 03:20:00,26485.45,26517.0,26484.43,26496.99,6.7453
2023-06-18 03:25:00,26496.99,26532.0,26493.87,26507.05,12.7457
2023-06-18 03:30:00,26507.05,26550.0,26501.32,26517.38,23.311
2023-06-18 03:35:00,26517.37,26560.0,26516.44,26532.57,22.0033
2023-06-18 03:40:00,26532.61,26562.0,26527.21,26532.81,10.3233
2023-06-18 03:45:00,26532.73,26560.0,26523.76,26527.83,16.7296
2023-06-18 03:50:00,26529.67,26557.0,26524.68,26529.7,8.8609
2023-06-18 03:55:00,26529.71,26560.0,26520.46,26559.0,7.2374
2023-06-18 04:00:00,26532.92,26562.0,26522.76,26532.02,13.1332
2023-06-18 04:05:00,26530.68,26569.0,26525.5,26540.33,29.0512
2023-06-18 04:10:00,26541.42,26568.0,26508.71,26511.11,28.6776
2023-06-18 04:15:00,26512.62,26551.0,26510.49,26517.69,9.0661
2023-06-18 04:20:00,26517.08,26550.0,26513.44,26517.6,6.8437
2023-06-18 04:25:00,26517.6,26551.0,26511.86,26512.64,10.8154
2023-06-18 04:30:00,26512.62,26547.0,26512.0,26522.87,12.1396
2023-06-18 04:35:00,26529.2,26549.0,26514.04,26523.09,6.9644
2023-06-18 04:40:00,26523.09,26552.0,26518.53,26526.1,7.0803
2023-06-18 04:45:00,26524.63,26552.0,26522.87,26533.4,2.827
2023-06-18 04:50:00,26534.98,26566.0,26481.91,26519.07,33.6601
2023-06-18 04:55:00,26522.0,26554.0,26516.8,26524.28,7.6607
2023-06-18 05:00:00,26524.29,26553.0,26520.16,26531.73,21.1948
2023-06-18 05:05:00,26534.0,26557.0,26524.01,26532.11,14.2199
2023-06-18 05:10:00,26532.1,26569.0,26531.64,26547.19,12.7322
2023-06-18 05:15:00,26546.4,26573.0,26535.09,26540.85,10.6818
2023-06-18 05:20:00,26540.9,26660.0,26540.9,26606.39,144.2765
2023-06-18 05:25:00,26605.77,26634.0,26577.71,26586.15,60.1297
2023-06-18 05:30:00,26599.1,26645.0,26571.24,26611.76,88.7767
2023-06-18 05:35:00,26609.95,26651.0,26604.13,26630.23,25.0551
2023-06-18 05:40:00,26630.03,26651.0,26603.35,26650.0,18.0453
2023-06-18 05:45:00,26619.76,26651.0,26572.87,26578.03,34.2695
